issue_id,resolution_method,resolution_stage,severity_migrated_from,tier,branch_impact,kill_potential,estimated_effort,migration_decision,migration_from,migration_reason,severity,status,claim_needed
UNK-0001,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,SMALL,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: a known mandatory cost is a cheap killer and cannot be deferred.,BLOCKING,EXTERNAL_REQUEST_READY,Exact project-level all-in per-contract cost for the CME candidates (exchange fee + clearing fee + NFA/FCM commission + market-data and connectivity).
UNK-0002,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,SMALL,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: matching mechanics are a Tier-1 fact and a queue model cannot be built without it.,BLOCKING,IN_PROGRESS,The product-specific CME matching/allocation rule for each named candidate contract.
UNK-0003,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,SMALL,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: data procurement feasibility is an M1 question (handoff §15 KG2).,BLOCKING,IN_PROGRESS,Whether a historical CME MBO/MBP package can be licensed at acceptable cost with usable timestamp semantics.
UNK-0004,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,MEDIUM,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: granularity sufficiency is an M1 gate (measured against the mechanism's requirement), while fill rates themselves move to M2.",BLOCKING,EXTERNAL_REQUEST_READY,Whether order-level historical U.S. equity depth (ITCH/TotalView depth) can be procured at acceptable cost.
UNK-0005,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,MEDIUM,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: known costs are Tier-1 killers.,BLOCKING,IN_PROGRESS,"Current U.S. equity fee tier and routing economics actually available to this project (Nasdaq main book, Cboe BZX fee codes, CAT/broker/clearing)."
UNK-0006,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,GLOBAL,LOW,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,"MIGRATED from M1_BLOCKING (it was UNK-0006 there). Split: known mandatory cost floors remain M1-blocking (UNK-0001/0005/0011/0012/0013/0022/0028); realized slippage, impact and adverse selection are, by construction, measurement outputs of M2. Keeping them in M1 made M1 unclosable.",IMPORTANT,OPEN,"The full break-even cost envelope (spread, fees, slippage, adverse selection, impact) for each candidate."
UNK-0007,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,SMALL,LOW,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,MIGRATED from M1_BLOCKING. Fill rates are an M2 output; the M1-relevant part (does an order-level feed exist to model them at all) is KG2 / UNK-0003 / UNK-0004.,IMPORTANT,OPEN,Passive fill probability conditional on queue state.
UNK-0008,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,GLOBAL,LOW,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,"MIGRATED from M1_BLOCKING, and this is the single most important migration: requiring a measured half-life inside M1 made KG4 unpassable, which made M1-B impossible, which made M2 impossible. M1 now requires only that no *known physical* timing contradiction exists and that the delay experiment is preregistered.",IMPORTANT,OPEN,Empirical signal half-life: the EV-versus-delay curve for each candidate signal.
UNK-0009,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,2,GLOBAL,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: mechanism credibility is the core M1 question (handoff §15 KG1).,BLOCKING,OPEN,"Modern, venue-specific, after-cost replication (or explicit disconfirmation) for the mechanism each candidate relies on. The only external mechanism evidence in this package is the U.S.-equity OFI/queue-imbalance/microprice literature; every other candidate borrows a mechanism that has no current, on-venue, after-cost replication at all."
UNK-0009-ECON-CME-MEASURED,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,MEDIUM,LOW,LARGE,CHILD_OF_UNK-0009,UNKNOWN,Split from UNK-0009 and parked at M2: it cannot start before the M1 cost items close.,IMPORTANT,OPEN,After-cost replication on CME once the cost schedule and matching rule are known.
UNK-0009-ECON-CRYPTO-SPOT,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,SMALL,HIGH,MEDIUM,CHILD_OF_UNK-0009,UNKNOWN,Split from UNK-0009 and promoted to M1 because it decides an open branch cheaply: it is the missing input that a kill would need.,BLOCKING,OPEN,Is there a documented upper bound on the plausible gross seconds-scale effect on large crypto spot venues that could be compared against a verified fee floor?
UNK-0009-ECON-EQUITY-MEASURED,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,MEDIUM,LOW,MEDIUM,CHILD_OF_UNK-0009,UNKNOWN,Split from UNK-0009: after-cost profitability is an M2 measurement and is explicitly not a precondition for KG1.,IMPORTANT,OPEN,After-cost replication of the equity mechanisms at the project's own fee tier.
UNK-0009-MECH-CME,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,2,MEDIUM,HIGH,MEDIUM,CHILD_OF_UNK-0009,UNKNOWN,"Split from the conflated UNK-0009: this asks only whether the mechanism exists on CME, not whether it is profitable there.",BLOCKING,OPEN,Does the order-flow-imbalance / queue mechanism have direct or closely comparable evidence on CME equity-index futures?
UNK-0009-MECH-NASDAQ-MICRO,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,2,ONE,HIGH,SMALL,CHILD_OF_UNK-0009,UNKNOWN,"New child created by the iteration-4 citation replacement: the claim is verified but its venue scope is not, so venue-specific KG1 credit is withheld.",BLOCKING,OPEN,"Is there venue-specific evidence for the micro-price mechanism on a named US equity venue, as opposed to a venue-unspecified estimator result?"
UNK-0010,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,SMALL,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained; fee and liquidation facts are public research, replay procurement needs a vendor/data request, so the binding method is EXTERNAL_ACTION.",BLOCKING,IN_PROGRESS,"Hyperliquid trading-fee schedule, event-level historical L2 source and market-wide liquidation observability."
UNK-0011,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,ONE,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: access and cost are Tier-1/Tier-3 facts.,BLOCKING,OPEN,"Eurex execution fees, product allocation rule, historical EOBI acquisition cost and broker/participant access path."
UNK-0012,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,ONE,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: the schedule is public, so this is cheap public research.",BLOCKING,OPEN,Cboe options class/order-type fee decomposition plus historical surface/depth data and hedging mechanics for a named option tuple.
UNK-0013,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,ONE,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: cheap public research, high kill potential.",BLOCKING,IN_PROGRESS,"Deribit current access, fee, API semantics and historical book/surface data."
UNK-0014,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,SMALL,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: legality is explicitly an M1 gate (handoff §2).,BLOCKING,IN_PROGRESS,"Jurisdiction-by-jurisdiction access, fee schedule, matching/API semantics and historical data for Kalshi and Polymarket."
