candidate_id,consensus_fact_count,supported_finding_count,contested_count,extrapolation_count,unknown_class_count,supports_count,weakens_count,neutral_count,support_evidence_count,venue_specific_support_count,contrary_evidence_count,blocking_unknown_count,evidence_ids,declared_blocking_issue_ids,derived_blocking_issue_ids,declared_is_subset_of_derived,derived_not_declared,declared_not_derived,note
TUP-CME-ES-H1-QDEP-PAS,10,1,0,0,0,1,2,8,1,0,2,11,EVD-0001|EVD-0002|EVD-0003|EVD-0012|EVD-0018|EVD-0020|EVD-0042|EVD-0060|EVD-0061|EVD-0062|EVD-0063,UNK-0001|UNK-0002|UNK-0003|UNK-0006|UNK-0007|UNK-0008|UNK-0016|UNK-0018,UNK-0001|UNK-0002|UNK-0003|UNK-0009|UNK-0018|UNK-0023|UNK-0028,NO,UNK-0009|UNK-0023|UNK-0028,UNK-0006|UNK-0007|UNK-0008|UNK-0016,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-CME-ES-H3-OFI-AGG,8,1,0,0,0,0,0,9,0,0,0,9,EVD-0001|EVD-0002|EVD-0013|EVD-0018|EVD-0020|EVD-0060|EVD-0061|EVD-0062|EVD-0063,UNK-0001|UNK-0002|UNK-0006|UNK-0009|UNK-0016|UNK-0018,UNK-0001|UNK-0002|UNK-0003|UNK-0009|UNK-0018|UNK-0023|UNK-0028,NO,UNK-0003|UNK-0023|UNK-0028,UNK-0006|UNK-0016,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-CME-NQ-H3-OFI-AGG,8,1,0,0,0,0,0,9,0,0,0,9,EVD-0001|EVD-0002|EVD-0013|EVD-0018|EVD-0020|EVD-0060|EVD-0061|EVD-0062|EVD-0063,UNK-0001|UNK-0002|UNK-0006|UNK-0009|UNK-0016|UNK-0018,UNK-0001|UNK-0002|UNK-0003|UNK-0009|UNK-0018|UNK-0023|UNK-0028,NO,UNK-0003|UNK-0023|UNK-0028,UNK-0006|UNK-0016,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-CME-TSY-H2-QREPL-MIX,9,0,0,0,0,0,1,8,0,0,1,10,EVD-0001|EVD-0002|EVD-0003|EVD-0018|EVD-0019|EVD-0060|EVD-0061|EVD-0062|EVD-0063,UNK-0001|UNK-0002|UNK-0003|UNK-0006|UNK-0009|UNK-0016|UNK-0018|UNK-0027,UNK-0001|UNK-0002|UNK-0003|UNK-0009|UNK-0018|UNK-0023|UNK-0027|UNK-0028,NO,UNK-0023|UNK-0028,UNK-0006|UNK-0016,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-CME-WTI-H4-FLOWVOL-AGG,7,0,0,0,0,0,0,7,0,0,0,9,EVD-0001|EVD-0002|EVD-0018|EVD-0060|EVD-0061|EVD-0062|EVD-0063,UNK-0001|UNK-0002|UNK-0006|UNK-0009|UNK-0018|UNK-0027,UNK-0001|UNK-0002|UNK-0003|UNK-0009|UNK-0018|UNK-0023|UNK-0027|UNK-0028,NO,UNK-0003|UNK-0023|UNK-0028,UNK-0006,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,9,1,0,0,0,1,5,4,1,1,5,11,EVD-0004|EVD-0005|EVD-0012|EVD-0031|EVD-0032|EVD-0033|EVD-0034|EVD-0035|EVD-0041|EVD-0042,UNK-0004|UNK-0005|UNK-0006|UNK-0008|UNK-0009|UNK-0016|UNK-0018|UNK-0027,UNK-0004|UNK-0005|UNK-0009|UNK-0018|UNK-0023|UNK-0027|UNK-0028|UNK-0033,NO,UNK-0023|UNK-0028|UNK-0033,UNK-0006|UNK-0008|UNK-0016,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,9,1,0,0,0,1,5,4,1,1,5,11,EVD-0004|EVD-0005|EVD-0014|EVD-0031|EVD-0032|EVD-0033|EVD-0034|EVD-0035|EVD-0041|EVD-0042,UNK-0004|UNK-0005|UNK-0006|UNK-0008|UNK-0009|UNK-0016|UNK-0018|UNK-0027,UNK-0004|UNK-0005|UNK-0009|UNK-0018|UNK-0023|UNK-0027|UNK-0028|UNK-0033,NO,UNK-0023|UNK-0028|UNK-0033,UNK-0006|UNK-0008|UNK-0016,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,11,0,0,0,0,0,6,5,0,0,6,9,EVD-0004|EVD-0005|EVD-0015|EVD-0022|EVD-0031|EVD-0032|EVD-0033|EVD-0034|EVD-0035|EVD-0041|EVD-0042,UNK-0004|UNK-0006|UNK-0009|UNK-0020|UNK-0027,UNK-0004|UNK-0005|UNK-0009|UNK-0018|UNK-0020|UNK-0023|UNK-0027|UNK-0028,NO,UNK-0005|UNK-0018|UNK-0023|UNK-0028,UNK-0006,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,5,0,0,0,0,0,1,4,0,0,1,12,EVD-0006|EVD-0021|EVD-0036|EVD-0037|EVD-0038,UNK-0005|UNK-0006|UNK-0007|UNK-0008|UNK-0016|UNK-0018|UNK-0019,UNK-0005|UNK-0009|UNK-0018|UNK-0022|UNK-0023|UNK-0028|UNK-0033,NO,UNK-0009|UNK-0022|UNK-0023|UNK-0028|UNK-0033,UNK-0006|UNK-0007|UNK-0008|UNK-0016|UNK-0019,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,1,1,0,0,0,1,1,0,1,0,1,6,EVD-0007|EVD-0014,UNK-0006,UNK-0009|UNK-0018|UNK-0023|UNK-0028|UNK-0034,NO,UNK-0009|UNK-0018|UNK-0023|UNK-0028|UNK-0034,UNK-0006,Descriptive counts only. NEUTRAL records are feasibility context and are not netted against SUPPORTS/WEAKENS; no evidence score is computed (ASM-0017). blocking_unknown_count counts M1-blocking issues only: an issue migrated to M2_MEASUREMENT stops blocking this candidate's M1 status by design (handoff §3).
